Driver,session_id,season,Avg_Lap_Time,Avg_Sector_1_Time,Avg_Sector_2_Time,Avg_Sector_3_Time
27,2019_21,2019,110.019916,19.155416,47.235111,48.442611
11,2019_21,2019,114.493444,19.667333,48.985,51.627
10,2019_21,2019,113.321,21.337875,48.773833,48.610833
18,2019_21,2019,112.06,19.1472,49.349,48.152714
26,2019_21,2019,110.020375,19.642375,48.319583,49.882833
20,2019_21,2019,108.839444,19.5922,49.4115,50.099714
8,2019_21,2019,113.884333,19.694,48.9075,49.9655
99,2019_21,2019,110.33275,18.797,47.780333,48.897
7,2019_21,2019,112.95075,20.458,47.311,46.7795
63,2019_21,2019,115.5145,20.542833,47.56225,50.459625
88,2019_21,2019,108.269,20.9805,48.229833,50.084833
77,2020_1,2020,76.146083,17.841166,34.274333,26.129944
44,2020_1,2020,74.472857,18.251285,33.53105,25.13085
33,2020_1,2020,75.007437,18.155625,33.035909,25.060136
4,2020_1,2020,76.6824,17.83909,34.586352,26.337
23,2020_1,2020,75.224,18.423461,33.754388,25.092529
11,2020_1,2020,74.656416,17.769692,34.320157,26.271
16,2020_1,2020,74.711615,18.5745,34.7436,25.533684
55,2020_1,2020,74.012909,17.735916,34.052388,26.187588
18,2020_1,2020,79.9135,17.794583,34.851294,27.600294
3,2020_1,2020,76.545444,19.1244,34.8834,27.236857
5,2020_1,2020,79.666333,18.180111,34.275153,28.302615
10,2020_1,2020,76.9252,18.171,35.262857,25.693928
26,2020_1,2020,79.177,18.4244,33.733714,28.147071
31,2020_1,2020,73.583375,18.03525,33.146916,25.72825
8,2020_1,2020,77.0299,18.3476,34.208714,26.119071
20,2020_1,2020,76.666166,18.038666,34.70525,26.08075
63,2020_1,2020,79.7465,18.545125,34.8506,27.4299
99,2020_1,2020,75.6532,17.3028,34.834875,27.549375
7,2020_1,2020,76.6405,18.636166,34.569888,25.816222
6,2020_1,2020,76.628,18.2322,35.270583,24.306833
44,2020_2,2020,85.109933,19.632387,38.267558,28.020333
33,2020_2,2020,84.094333,19.8145,37.07103,28.386636
55,2020_2,2020,84.900206,19.9785,37.599129,28.190838
77,2020_2,2020,84.048344,19.913645,37.952757,27.086343
31,2020_2,2020,84.536964,20.734666,37.599515,27.134806
4,2020_2,2020,83.893413,20.0691,37.712909,27.370343
